call_id,put_id,date_entry,date_exit,expiration,dte,stock_price_entry,stock_price_exit,call_delta_entry,put_delta_entry,strangle_price_entry,strangle_price_exit,short_strangle_dollar_pnl,short_strangle_pct_pnl
SPY190313C00281000,SPY190313P00273000,2019-03-06,2019-03-13,2019-03-13,7,277.43,281.7,0.20174,-0.21181,1.165,0.735,0.43,0.3691
SPY190315C00277500,SPY190315P00268000,2019-03-08,2019-03-15,2019-03-15,7,274.08,281.29,0.19112,-0.19249,1.175,3.88,-2.705,-2.3021
SPY190318C00281000,SPY190318P00273500,2019-03-11,2019-03-18,2019-03-18,7,278.49,282.52,0.19871,-0.20592,1.005,1.505,-0.5,-0.4975
SPY190320C00284000,SPY190320P00276500,2019-03-13,2019-03-20,2019-03-20,7,281.7,282.02,0.21262,-0.19504,0.985,0.01,0.975,0.9898
SPY190322C00284500,SPY190322P00277500,2019-03-15,2019-03-22,2019-03-22,7,281.29,279.73,0.20826,-0.18742,0.88,0.02,0.86,0.9773
SPY190325C00286000,SPY190325P00279000,2019-03-18,2019-03-25,2019-03-25,7,282.52,279.32,0.16797,-0.19623,0.85,0.15,0.7,0.8235
SPY190327C00285500,SPY190327P00278000,2019-03-20,2019-03-27,2019-03-27,7,282.02,280.26,0.20224,-0.19843,1.01,0.01,1.0,0.9901
SPY190329C00285000,SPY190329P00274000,2019-03-22,2019-03-29,2019-03-29,7,279.73,282.55,0.18436,-0.19581,1.39,0.01,1.38,0.9928
SPY190401C00284000,SPY190401P00274000,2019-03-25,2019-04-01,2019-04-01,7,279.32,285.79,0.18521,-0.19446,1.165,1.79,-0.625,-0.5365
SPY190403C00284000,SPY190403P00276000,2019-03-27,2019-04-03,2019-04-03,7,280.26,286.46,0.21167,-0.21651,1.25,2.415,-1.165,-0.932
SPY190405C00286000,SPY190405P00279000,2019-03-29,2019-04-05,2019-04-05,7,282.55,288.42,0.21276,-0.22282,1.085,2.395,-1.31,-1.2074
SPY190408C00289000,SPY190408P00282000,2019-04-01,2019-04-08,2019-04-08,7,285.79,288.7,0.19591,-0.18681,0.835,0.04,0.795,0.9521
SPY190410C00289500,SPY190410P00282000,2019-04-03,2019-04-10,2019-04-10,7,286.46,288.14,0.20716,-0.20082,0.895,0.01,0.885,0.9888
SPY190412C00291000,SPY190412P00285000,2019-04-05,2019-04-12,2019-04-12,7,288.42,289.99,0.23598,-0.18659,0.89,0.02,0.87,0.9775
SPY190415C00292000,SPY190415P00285500,2019-04-08,2019-04-15,2019-04-15,7,288.7,289.82,0.1652,-0.192,0.7,0.01,0.69,0.9857
SPY190417C00291000,SPY190417P00285000,2019-04-10,2019-04-17,2019-04-17,7,288.14,289.7,0.21715,-0.20427,0.89,0.01,0.88,0.9888
SPY190418C00291000,SPY190418P00284500,2019-04-11,2019-04-18,2019-04-18,7,288.08,289.99,0.21158,-0.18872,0.86,0.01,0.85,0.9884
SPY190422C00292000,SPY190422P00287000,2019-04-15,2019-04-22,2019-04-22,7,289.82,290.26,0.24229,-0.20047,0.815,0.01,0.805,0.9877
SPY190424C00292500,SPY190424P00286500,2019-04-17,2019-04-24,2019-04-24,7,289.7,292.82,0.19048,-0.19537,0.755,0.395,0.36,0.4768
SPY190429C00293000,SPY190429P00287000,2019-04-22,2019-04-29,2019-04-29,7,290.26,293.98,0.21267,-0.19554,0.835,0.975,-0.14,-0.1677
SPY190501C00296000,SPY190501P00289000,2019-04-24,2019-05-01,2019-05-01,7,292.82,292.6,0.20738,-0.19709,0.945,0.01,0.935,0.9894
SPY190503C00296000,SPY190503P00289000,2019-04-26,2019-05-03,2019-05-03,7,293.07,294.01,0.2253,-0.19142,1.0,0.01,0.99,0.99
SPY190506C00297000,SPY190506P00290000,2019-04-29,2019-05-06,2019-05-06,7,293.98,292.8,0.20728,-0.18963,0.905,0.01,0.895,0.989
SPY190508C00296000,SPY190508P00288500,2019-05-01,2019-05-08,2019-05-08,7,292.6,288.42,0.19869,-0.207,1.025,0.37,0.655,0.639
SPY190510C00297000,SPY190510P00290000,2019-05-03,2019-05-10,2019-05-10,7,294.01,287.49,0.20413,-0.18084,0.88,2.505,-1.625,-1.8466
SPY190513C00297000,SPY190513P00288000,2019-05-06,2019-05-13,2019-05-13,7,292.8,280.65,0.17809,-0.20638,1.16,7.37,-6.21,-5.3534
SPY190515C00294000,SPY190515P00281000,2019-05-08,2019-05-15,2019-05-15,7,288.42,285.3,0.20384,-0.21052,1.92,0.01,1.91,0.9948
SPY190517C00292500,SPY190517P00281500,2019-05-10,2019-05-17,2019-05-17,7,287.49,286.04,0.19157,-0.20502,1.475,0.01,1.465,0.9932
SPY190520C00287000,SPY190520P00273000,2019-05-13,2019-05-20,2019-05-20,7,280.65,284.1,0.18989,-0.20056,1.845,0.01,1.835,0.9946
SPY190522C00290000,SPY190522P00280000,2019-05-15,2019-05-22,2019-05-22,7,285.3,285.98,0.17599,-0.21064,1.29,0.01,1.28,0.9922
SPY190524C00291000,SPY190524P00280000,2019-05-17,2019-05-24,2019-05-24,7,286.04,282.85,0.17075,-0.20168,1.38,0.01,1.37,0.9928
SPY190528C00290000,SPY190528P00282000,2019-05-21,2019-05-28,2019-05-28,7,286.46,280.49,0.2072,-0.19725,1.1,1.52,-0.42,-0.3818
SPY190529C00289500,SPY190529P00281500,2019-05-22,2019-05-29,2019-05-29,7,285.98,278.49,0.19876,-0.19066,1.03,2.96,-1.93,-1.8738
SPY190531C00287000,SPY190531P00277500,2019-05-24,2019-05-31,2019-05-31,7,282.85,275.61,0.21522,-0.20277,1.35,1.895,-0.545,-0.4037
SPY190605C00284000,SPY190605P00273000,2019-05-29,2019-06-05,2019-06-05,7,278.49,282.46,0.18448,-0.21132,1.45,0.01,1.44,0.9931
SPY190607C00281000,SPY190607P00270000,2019-05-31,2019-06-07,2019-06-07,7,275.61,287.79,0.21622,-0.21533,1.76,6.855,-5.095,-2.8949
SPY190610C00279000,SPY190610P00268000,2019-06-03,2019-06-10,2019-06-10,7,273.98,289.1,0.21804,-0.19075,1.62,10.115,-8.495,-5.2438
SPY190612C00287000,SPY190612P00277000,2019-06-05,2019-06-12,2019-06-12,7,282.46,288.14,0.17939,-0.1811,1.11,1.15,-0.04,-0.036
SPY190614C00292000,SPY190614P00282500,2019-06-07,2019-06-14,2019-06-14,7,287.79,289.57,0.20929,-0.18998,1.265,0.01,1.255,0.9921
SPY190617C00293000,SPY190617P00284000,2019-06-10,2019-06-17,2019-06-17,7,289.1,289.55,0.2202,-0.17965,1.185,0.01,1.175,0.9916
SPY190619C00292500,SPY190619P00283000,2019-06-12,2019-06-19,2019-06-19,7,288.14,293.57,0.1974,-0.19426,1.21,1.13,0.08,0.0661
SPY190621C00293000,SPY190621P00285000,2019-06-14,2019-06-21,2019-06-21,7,289.57,294.74,0.20068,-0.22298,1.47,1.745,-0.275,-0.1871
SPY190624C00292500,SPY190624P00283500,2019-06-17,2019-06-24,2019-06-24,7,289.55,293.76,0.21366,-0.1942,1.185,1.265,-0.08,-0.0675
SPY190626C00296500,SPY190626P00288500,2019-06-19,2019-06-26,2019-06-26,7,293.57,290.85,0.19392,-0.20621,1.12,0.01,1.11,0.9911
SPY190628C00299000,SPY190628P00290000,2019-06-21,2019-06-28,2019-06-28,7,294.74,292.46,0.18297,-0.1922,1.03,0.01,1.02,0.9903
SPY190701C00299000,SPY190701P00288000,2019-06-24,2019-07-01,2019-07-01,7,293.76,295.35,0.19766,-0.20156,1.465,0.01,1.455,0.9932
SPY190703C00296000,SPY190703P00285000,2019-06-26,2019-07-03,2019-07-03,7,290.85,298.32,0.20885,-0.20315,1.57,2.33,-0.76,-0.4841
SPY190705C00297500,SPY190705P00286500,2019-06-28,2019-07-05,2019-07-05,7,292.46,298.1,0.1971,-0.19795,1.445,0.65,0.795,0.5502
SPY190708C00298000,SPY190708P00291000,2019-07-01,2019-07-08,2019-07-08,7,295.35,296.99,0.20641,-0.20066,0.89,0.01,0.88,0.9888
SPY190710C00301000,SPY190710P00295000,2019-07-03,2019-07-10,2019-07-10,7,298.32,298.54,0.21668,-0.19237,0.84,0.01,0.83,0.9881
SPY190712C00301000,SPY190712P00295000,2019-07-05,2019-07-12,2019-07-12,7,298.1,300.48,0.22102,-0.21417,0.95,0.02,0.93,0.9789
SPY190715C00300000,SPY190715P00293000,2019-07-08,2019-07-15,2019-07-15,7,296.99,300.62,0.19138,-0.19888,0.79,0.645,0.145,0.1835
SPY190717C00302000,SPY190717P00295500,2019-07-10,2019-07-17,2019-07-17,7,298.54,298.29,0.16795,-0.21509,0.8,0.01,0.79,0.9875
SPY190719C00303000,SPY190719P00297000,2019-07-12,2019-07-19,2019-07-19,7,300.48,297.82,0.22329,-0.18512,0.82,0.03,0.79,0.9634
SPY190722C00303000,SPY190722P00297500,2019-07-15,2019-07-22,2019-07-22,7,300.62,297.76,0.22784,-0.20463,0.85,0.09,0.76,0.8941
SPY190724C00301000,SPY190724P00294500,2019-07-17,2019-07-24,2019-07-24,7,298.29,301.21,0.23049,-0.20849,1.03,0.295,0.735,0.7136
SPY190726C00301500,SPY190726P00293500,2019-07-19,2019-07-26,2019-07-26,7,297.82,302.1,0.18281,-0.20368,0.925,0.635,0.29,0.3135
SPY190729C00301000,SPY190729P00294000,2019-07-22,2019-07-29,2019-07-29,7,297.76,301.67,0.18636,-0.20249,0.89,0.69,0.2,0.2247
SPY190731C00304500,SPY190731P00297000,2019-07-24,2019-07-31,2019-07-31,7,301.21,298.76,0.21371,-0.19251,1.05,0.03,1.02,0.9714
SPY190802C00305000,SPY190802P00297500,2019-07-26,2019-08-02,2019-08-02,7,302.1,292.89,0.23587,-0.19272,1.21,4.6,-3.39,-2.8017
SPY190805C00305000,SPY190805P00297000,2019-07-29,2019-08-05,2019-08-05,7,301.67,284.6,0.21739,-0.18204,1.05,12.41,-11.36,-10.819
SPY190807C00303000,SPY190807P00293000,2019-07-31,2019-08-07,2019-08-07,7,298.76,288.35,0.18518,-0.18895,1.175,4.65,-3.475,-2.9574
SPY190809C00298000,SPY190809P00286000,2019-08-02,2019-08-09,2019-08-09,7,292.89,292.71,0.22185,-0.19743,1.625,0.01,1.615,0.9938
SPY190812C00292000,SPY190812P00275000,2019-08-05,2019-08-12,2019-08-12,7,284.6,288.18,0.19632,-0.20248,2.26,0.01,2.25,0.9956
SPY190814C00294000,SPY190814P00281000,2019-08-07,2019-08-14,2019-08-14,7,288.35,284.49,0.18657,-0.20698,1.76,0.02,1.74,0.9886
SPY190816C00297000,SPY190816P00286500,2019-08-09,2019-08-16,2019-08-16,7,292.71,288.83,0.21315,-0.20464,1.58,0.02,1.56,0.9873
SPY190819C00294000,SPY190819P00281000,2019-08-12,2019-08-19,2019-08-19,7,288.18,292.65,0.17678,-0.20126,1.68,0.01,1.67,0.994
SPY190821C00291000,SPY190821P00276000,2019-08-14,2019-08-21,2019-08-21,7,284.49,292.32,0.20592,-0.20294,2.135,1.345,0.79,0.37
SPY190823C00294000,SPY190823P00282000,2019-08-16,2019-08-23,2019-08-23,7,288.83,285.11,0.19139,-0.19666,1.55,0.02,1.53,0.9871
SPY190826C00297000,SPY190826P00287000,2019-08-19,2019-08-26,2019-08-26,7,292.65,286.79,0.19592,-0.2028,1.345,0.425,0.92,0.684
SPY190828C00297000,SPY190828P00287000,2019-08-21,2019-08-28,2019-08-28,7,292.32,288.68,0.18372,-0.21672,1.41,0.02,1.39,0.9858
SPY190830C00291500,SPY190830P00277000,2019-08-23,2019-08-30,2019-08-30,7,285.11,292.35,0.21065,-0.20049,1.995,0.92,1.075,0.5388
SPY190903C00293000,SPY190903P00281000,2019-08-27,2019-09-03,2019-09-03,7,287.26,290.9,0.17456,-0.21373,1.56,0.01,1.55,0.9936
SPY190904C00294000,SPY190904P00282000,2019-08-28,2019-09-04,2019-09-04,7,288.68,293.9,0.19151,-0.19515,1.51,0.14,1.37,0.9073
SPY190906C00297000,SPY190906P00286000,2019-08-30,2019-09-06,2019-09-06,7,292.35,298.26,0.21393,-0.20823,1.69,1.305,0.385,0.2278
SPY190911C00298000,SPY190911P00288500,2019-09-04,2019-09-11,2019-09-11,7,293.9,299.62,0.19018,-0.19611,1.23,1.63,-0.4,-0.3252
SPY190913C00302000,SPY190913P00294500,2019-09-06,2019-09-13,2019-09-13,7,298.26,301.24,0.19017,-0.20987,1.01,0.02,0.99,0.9802
SPY190916C00301000,SPY190916P00293500,2019-09-09,2019-09-16,2019-09-16,7,297.99,300.14,0.22606,-0.20439,1.01,0.02,0.99,0.9802
SPY190918C00304000,SPY190918P00295000,2019-09-11,2019-09-18,2019-09-18,7,299.62,301.01,0.18432,-0.20495,1.02,0.01,1.01,0.9902
SPY190920C00305000,SPY190920P00296500,2019-09-13,2019-09-20,2019-09-20,7,301.24,298.45,0.17085,-0.19385,1.24,0.04,1.2,0.9677
SPY190923C00303000,SPY190923P00294000,2019-09-16,2019-09-23,2019-09-23,7,300.14,298.71,0.2124,-0.19838,1.28,0.01,1.27,0.9922
SPY190925C00304000,SPY190925P00297000,2019-09-18,2019-09-25,2019-09-25,7,301.01,297.73,0.17456,-0.20831,1.51,0.06,1.45,0.9603
SPY190927C00302000,SPY190927P00293000,2019-09-20,2019-09-27,2019-09-27,7,298.45,294.9,0.21487,-0.1859,1.21,0.03,1.18,0.9752
SPY190930C00302000,SPY190930P00294000,2019-09-23,2019-09-30,2019-09-30,7,298.71,297.08,0.18312,-0.1835,0.965,0.01,0.955,0.9896
SPY191002C00302000,SPY191002P00293000,2019-09-25,2019-10-02,2019-10-02,7,297.73,288.24,0.16159,-0.20136,1.14,4.765,-3.625,-3.1798
SPY191004C00300000,SPY191004P00289000,2019-09-27,2019-10-04,2019-10-04,7,294.9,294.15,0.18779,-0.21091,1.53,0.01,1.52,0.9935
SPY191007C00301000,SPY191007P00292000,2019-09-30,2019-10-07,2019-10-07,7,297.08,293.65,0.18001,-0.20237,1.13,0.02,1.11,0.9823
SPY191009C00294000,SPY191009P00281000,2019-10-02,2019-10-09,2019-10-09,7,288.24,291.43,0.1939,-0.19946,1.67,0.01,1.66,0.994
SPY191011C00299000,SPY191011P00288000,2019-10-04,2019-10-11,2019-10-11,7,294.15,297.39,0.17841,-0.196,1.36,0.12,1.24,0.9118
SPY191014C00299000,SPY191014P00287000,2019-10-07,2019-10-14,2019-10-14,7,293.65,295.98,0.1755,-0.18564,1.3,0.01,1.29,0.9923
SPY191016C00297000,SPY191016P00285000,2019-10-09,2019-10-16,2019-10-16,7,291.43,298.32,0.20301,-0.20845,1.655,1.325,0.33,0.1994
SPY191018C00302000,SPY191018P00291000,2019-10-11,2019-10-18,2019-10-18,7,297.39,298.51,0.20649,-0.18746,1.46,0.01,1.45,0.9932
SPY191021C00300000,SPY191021P00291000,2019-10-14,2019-10-21,2019-10-21,7,295.98,300.01,0.18523,-0.19622,1.11,0.14,0.97,0.8739
SPY191023C00302000,SPY191023P00294000,2019-10-16,2019-10-23,2019-10-23,7,298.32,299.57,0.16986,-0.19346,0.92,0.01,0.91,0.9891
SPY191025C00302000,SPY191025P00294500,2019-10-18,2019-10-25,2019-10-25,7,298.51,301.71,0.18965,-0.21017,1.02,0.07,0.95,0.9314
SPY191028C00303000,SPY191028P00296000,2019-10-21,2019-10-28,2019-10-28,7,300.01,303.38,0.20778,-0.20875,0.92,0.425,0.495,0.538
SPY191030C00303000,SPY191030P00295000,2019-10-23,2019-10-30,2019-10-30,7,299.57,303.98,0.19779,-0.19256,1.01,0.985,0.025,0.0248
SPY191101C00305000,SPY191101P00298000,2019-10-25,2019-11-01,2019-11-01,7,301.71,305.82,0.18537,-0.21136,0.94,0.875,0.065,0.0691
SPY191104C00307000,SPY191104P00300000,2019-10-28,2019-11-04,2019-11-04,7,303.38,307.15,0.16943,-0.21978,0.92,0.24,0.68,0.7391
SPY191106C00307000,SPY191106P00300000,2019-10-30,2019-11-06,2019-11-06,7,303.98,306.93,0.20493,-0.19465,0.93,0.09,0.84,0.9032
SPY191108C00309000,SPY191108P00302500,2019-11-01,2019-11-08,2019-11-08,7,305.82,308.68,0.18588,-0.20177,0.82,0.03,0.79,0.9634
SPY191111C00310000,SPY191111P00304000,2019-11-04,2019-11-11,2019-11-11,7,307.15,308.21,0.20584,-0.20853,0.86,0.01,0.85,0.9884
SPY191113C00310000,SPY191113P00304000,2019-11-06,2019-11-13,2019-11-13,7,306.93,309.2,0.18175,-0.22531,0.85,0.01,0.84,0.9882
SPY191115C00311500,SPY191115P00305000,2019-11-08,2019-11-15,2019-11-15,7,308.68,311.3,0.19753,-0.20463,0.77,0.09,0.68,0.8831
SPY191118C00311500,SPY191118P00305000,2019-11-11,2019-11-18,2019-11-18,7,308.21,311.82,0.1873,-0.2129,0.835,0.365,0.47,0.5629
SPY191120C00312500,SPY191120P00305500,2019-11-13,2019-11-20,2019-11-20,7,309.2,310.68,0.18704,-0.20359,0.91,0.01,0.9,0.989
SPY191122C00314000,SPY191122P00307500,2019-11-15,2019-11-22,2019-11-22,7,311.3,310.86,0.21468,-0.19144,0.88,0.01,0.87,0.9886
SPY191125C00314500,SPY191125P00308000,2019-11-18,2019-11-25,2019-11-25,7,311.82,313.04,0.21376,-0.18642,0.86,0.01,0.85,0.9884
SPY191127C00313500,SPY191127P00306500,2019-11-20,2019-11-27,2019-11-27,7,310.68,315.27,0.20793,-0.19351,0.94,1.795,-0.855,-0.9096
SPY191129C00313000,SPY191129P00308000,2019-11-22,2019-11-29,2019-11-29,7,310.86,314.27,0.21719,-0.21482,0.79,1.29,-0.5,-0.6329
SPY191202C00315000,SPY191202P00310000,2019-11-25,2019-12-02,2019-12-02,7,313.04,312.12,0.23864,-0.19314,0.76,0.01,0.75,0.9868
SPY191204C00318000,SPY191204P00312000,2019-11-27,2019-12-04,2019-12-04,7,315.27,311.77,0.18208,-0.18987,0.7,0.295,0.405,0.5786
SPY191206C00317000,SPY191206P00310000,2019-11-29,2019-12-06,2019-12-06,7,314.27,315.11,0.22163,-0.18934,1.05,0.01,1.04,0.9905
SPY191209C00316000,SPY191209P00308000,2019-12-02,2019-12-09,2019-12-09,7,312.12,314.11,0.16594,-0.20735,1.07,0.01,1.06,0.9907
SPY191211C00316000,SPY191211P00306500,2019-12-04,2019-12-11,2019-12-11,7,311.77,314.24,0.18178,-0.19841,1.125,0.01,1.115,0.9911
SPY191213C00318500,SPY191213P00311000,2019-12-06,2019-12-13,2019-12-13,7,315.11,317.3,0.19275,-0.20449,1.065,0.01,1.055,0.9906
SPY191216C00318000,SPY191216P00308000,2019-12-09,2019-12-16,2019-12-16,7,314.11,319.51,0.21465,-0.19356,1.4,1.515,-0.115,-0.0821
SPY191218C00318000,SPY191218P00308500,2019-12-11,2019-12-18,2019-12-18,7,314.24,319.93,0.22361,-0.2037,1.45,1.95,-0.5,-0.3448
SPY191220C00320000,SPY191220P00313000,2019-12-13,2019-12-20,2019-12-20,7,317.3,320.98,0.19688,-0.20593,1.28,0.975,0.305,0.2383
SPY191223C00322000,SPY191223P00316000,2019-12-16,2019-12-23,2019-12-23,7,319.51,321.21,0.2061,-0.20477,1.22,0.01,1.21,0.9918
SPY191224C00321500,SPY191224P00317000,2019-12-17,2019-12-24,2019-12-24,7,319.71,321.1,0.21683,-0.20445,1.275,0.01,1.265,0.9922
SPY191227C00323500,SPY191227P00318500,2019-12-20,2019-12-27,2019-12-27,7,320.98,322.7,0.20095,-0.21516,0.73,0.02,0.71,0.9726
SPY191230C00324000,SPY191230P00318500,2019-12-23,2019-12-30,2019-12-30,7,321.21,321.02,0.18396,-0.19183,0.65,0.01,0.64,0.9846
SPY191231C00324000,SPY191231P00318000,2019-12-24,2019-12-31,2019-12-31,7,321.1,321.67,0.19462,-0.19263,0.75,0.02,0.73,0.9733
SPY200103C00326000,SPY200103P00319000,2019-12-27,2020-01-03,2020-01-03,7,322.7,322.77,0.20035,-0.20371,0.96,0.01,0.95,0.9896
SPY200106C00325000,SPY200106P00317000,2019-12-30,2020-01-06,2020-01-06,7,321.02,323.17,0.16433,-0.21871,1.03,0.01,1.02,0.9903
SPY200110C00326500,SPY200110P00318000,2020-01-03,2020-01-10,2020-01-10,7,322.77,325.62,0.19121,-0.20496,1.19,0.02,1.17,0.9832
SPY200113C00327000,SPY200113P00319000,2020-01-06,2020-01-13,2020-01-13,7,323.17,327.49,0.16418,-0.21479,0.99,0.525,0.465,0.4697
SPY200115C00328500,SPY200115P00321500,2020-01-08,2020-01-15,2020-01-15,7,325.38,327.67,0.21394,-0.2114,1.06,0.01,1.05,0.9906
SPY200117C00329000,SPY200117P00321500,2020-01-10,2020-01-17,2020-01-17,7,325.62,331.71,0.20315,-0.20048,1.02,2.72,-1.7,-1.6667
SPY200121C00330000,SPY200121P00324000,2020-01-14,2020-01-21,2020-01-21,7,327.52,331.39,0.23806,-0.19567,1.01,1.385,-0.375,-0.3713
SPY200122C00331000,SPY200122P00324000,2020-01-15,2020-01-22,2020-01-22,7,327.67,331.49,0.16502,-0.2045,0.75,0.56,0.19,0.2533
SPY200124C00334500,SPY200124P00328500,2020-01-17,2020-01-24,2020-01-24,7,331.71,328.44,0.20797,-0.19746,0.82,0.365,0.455,0.5549
SPY200129C00335000,SPY200129P00327000,2020-01-22,2020-01-29,2020-01-29,7,331.49,327.07,0.17962,-0.18518,0.88,0.265,0.615,0.6989
SPY200131C00333000,SPY200131P00322000,2020-01-24,2020-01-31,2020-01-31,7,328.44,321.49,0.19748,-0.19885,1.555,0.815,0.74,0.4759
SPY200203C00329500,SPY200203P00317000,2020-01-27,2020-02-03,2020-02-03,7,323.98,324.33,0.19487,-0.21,1.76,0.01,1.75,0.9943
SPY200205C00332000,SPY200205P00320000,2020-01-29,2020-02-05,2020-02-05,7,327.07,332.65,0.20162,-0.19484,1.7,0.72,0.98,0.5765
SPY200207C00328000,SPY200207P00312500,2020-01-31,2020-02-07,2020-02-07,7,321.49,332.54,0.2166,-0.19806,2.235,4.515,-2.28,-1.0201
SPY200210C00330000,SPY200210P00317000,2020-02-03,2020-02-10,2020-02-10,7,324.33,333.99,0.18298,-0.18711,1.515,4.06,-2.545,-1.6799
SPY200212C00337000,SPY200212P00327000,2020-02-05,2020-02-12,2020-02-12,7,332.65,337.39,0.18869,-0.18823,1.155,0.44,0.715,0.619
SPY200214C00337000,SPY200214P00327000,2020-02-07,2020-02-14,2020-02-14,7,332.54,337.21,0.21306,-0.1999,1.28,0.31,0.97,0.7578
SPY200218C00339000,SPY200218P00331000,2020-02-11,2020-02-18,2020-02-18,7,335.43,336.73,0.21924,-0.19563,1.13,0.01,1.12,0.9912
SPY200219C00341000,SPY200219P00333000,2020-02-12,2020-02-19,2020-02-19,7,337.39,338.45,0.17599,-0.185,0.87,0.01,0.86,0.9885
SPY200221C00341000,SPY200221P00332500,2020-02-14,2020-02-21,2020-02-21,7,337.21,333.15,0.17913,-0.19266,0.99,0.15,0.84,0.8485
SPY200226C00342000,SPY200226P00334000,2020-02-19,2020-02-26,2020-02-26,7,338.45,312.29,0.19615,-0.20298,1.07,21.685,-20.615,-19.2664
SPY200228C00338000,SPY200228P00327000,2020-02-21,2020-02-28,2020-02-28,7,333.15,289.48,0.22241,-0.20587,1.72,37.52,-35.8,-20.814
SPY200302C00332000,SPY200302P00311000,2020-02-24,2020-03-02,2020-03-02,7,323.67,305.36,0.18833,-0.19839,2.32,5.71,-3.39,-1.4612
SPY200304C00323000,SPY200304P00299000,2020-02-26,2020-03-04,2020-03-04,7,312.29,311.29,0.19326,-0.2022,2.98,0.01,2.97,0.9966
